Collection_Year,Serotype,Number_of_Serotypes,Age_Years
2011,23A,1,5. 4> - <=5 years
2011,23A,3,6. 5> - <=6 years
2011,23A,2,7. 6> - <=7 years
2011,23B,5,1. <=1 year
2011,23B,5,2. 1> - <=2 years
2011,23B,2,3. 2> - <=3 years
2011,23B,1,4. 3> - <=4 years
2011,23B,1,5. 4> - <=5 years
2011,23B,3,6. 5> - <=6 years
2011,23B,1,7. 6> - <=7 years
2011,23F,1,2. 1> - <=2 years
2011,29,1,2. 1> - <=2 years
2011,3,2,1. <=1 year
2011,3,1,2. 1> - <=2 years
2011,3,2,3. 2> - <=3 years
2011,3,1,4. 3> - <=4 years
2011,3,1,5. 4> - <=5 years
2011,3,2,6. 5> - <=6 years
2011,3,1,7. 6> - <=7 years
2011,31,1,1. <=1 year
2011,31,1,6. 5> - <=6 years
2011,33F,2,1. <=1 year
2011,33F,2,2. 1> - <=2 years
2011,33F,2,4. 3> - <=4 years
2011,33F,1,5. 4> - <=5 years
2011,33F,1,7. 6> - <=7 years
2011,34,1,1. <=1 year
2011,34,4,2. 1> - <=2 years
2011,34,1,3. 2> - <=3 years
2011,34,1,4. 3> - <=4 years
2011,34,1,7. 6> - <=7 years
2011,35B,10,1. <=1 year
2011,35B,3,2. 1> - <=2 years
2011,35B,4,4. 3> - <=4 years
2011,35B,2,5. 4> - <=5 years
2011,35F,3,1. <=1 year
2011,35F,1,2. 1> - <=2 years
2011,35F,1,3. 2> - <=3 years
2011,35F,2,4. 3> - <=4 years
2011,35F,3,5. 4> - <=5 years
2011,35F,3,6. 5> - <=6 years
2011,37,1,7. 6> - <=7 years
2011,38,1,1. <=1 year
2011,38,1,2. 1> - <=2 years
2011,6A,1,2. 1> - <=2 years
2011,6C,12,1. <=1 year
2011,6C,7,2. 1> - <=2 years
2011,6C,5,3. 2> - <=3 years
2011,6C,2,4. 3> - <=4 years
2011,6C,1,5. 4> - <=5 years
2011,6C,2,6. 5> - <=6 years
2011,6C,2,7. 6> - <=7 years
2011,7C,2,1. <=1 year
2011,7C,1,6. 5> - <=6 years
