1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
1, 1.02117, 1.32457, 2.1864, 2.89312, 2.76975, 2.57621, 3.07084, 3.95151, 4.35368, 4.40904, 4.28809, 4.10402, 3.67697, 4.92398, 5.13083, 5.37217, 5.75929, 7.10383, 7.40143, 8.65282, 10.0195, 10.4454, 10.1479, 15.6056
1, 1.08255, 1.32332, 2.10516, 2.93898, 2.80253, 2.5929, 2.9537, 3.96999, 4.24672, 4.31838, 4.2216, 4.09604, 3.33961, 5.06881, 5.12821, 5.76552, 5.72852, 7.19005, 7.42182, 8.94351, 10.0738, 10.3001, 9.89938, 15.5218
1, 1.12332, 1.27949, 2.13897, 2.87723, 2.80553, 2.79696, 2.85498, 3.90839, 4.21768, 4.27779, 4.23912, 4.08589, 3.00848, 4.95884, 5.0508, 5.67496, 5.58824, 7.17599, 7.43181, 9.29073, 10.0096, 10.1558, 9.57839, 15.4815
1, 1.03483, 1.45196, 2.168, 2.86217, 2.93964, 2.79646, 2.70969, 3.89099, 4.12159, 4.28938, 4.20098, 4.19885, 2.95609, 4.79722, 5.10112, 5.67341, 5.30945, 7.09555, 7.37368, 9.03851, 9.90918, 10.1229, 9.84763, 15.3984
1, 1.09178, 1.34765, 2.01, 2.74831, 2.88008, 2.74756, 3.008, 3.91038, 4.12228, 4.26, 4.21152, 4.48707, 3.10544, 4.87874, 5.11431, 5.64777, 5.20772, 7.1002, 7.59564, 9.12652, 9.7501, 10.305, 9.49953, 15.374
1, 1.09001, 1.35566, 2.04515, 2.70488, 2.80428, 2.79096, 2.92562, 3.90857, 4.14486, 4.21792, 4.1455, 4.45271, 3.54149, 4.82532, 5.06695, 5.68488, 5.15327, 7.08825, 7.53096, 9.21333, 9.81832, 10.3431, 9.75275, 15.426
1, 1.10482, 1.3359, 2.01324, 2.57444, 2.79233, 2.93401, 2.9861, 3.91833, 4.13554, 4.23544, 4.16429, 4.34964, 3.82562, 4.89251, 5.052, 5.78597, 5.16832, 7.11922, 7.58572, 8.95621, 9.96162, 10.3804, 9.61448, 15.3906
1, 1.13706, 1.29311, 1.97405, 2.58029, 2.81655, 3.06114, 3.03439, 3.90298, 4.09482, 4.21104, 4.1827, 4.31875, 3.676, 4.84999, 5.06825, 5.8112, 5.3834, 7.17833, 7.6146, 8.87356, 10.0505, 10.2252, 9.34952, 15.3485
1, 1.21634, 1.36897, 1.94437, 2.53044, 2.73396, 2.98379, 3.04156, 3.89011, 4.15631, 4.09271, 4.22003, 4.17492, 3.6091, 4.70188, 5.04797, 5.69555, 5.32344, 7.12511, 7.59737, 8.54445, 10.0748, 10.0798, 9.10771, 15.2382
1, 1.17562, 1.52001, 1.85963, 2.52093, 2.71975, 2.91517, 2.93476, 3.86184, 4.15161, 4.08975, 4.20372, 4.19466, 3.58467, 4.68421, 5.00684, 5.74513, 5.37553, 7.03825, 7.4932, 8.73474, 9.99811, 10.1393, 9.13724, 15.189
1, 1.19062, 1.51409, 1.87858, 2.47247, 2.72934, 2.84028, 2.92713, 3.88731, 4.15051, 4.06866, 4.22219, 4.1791, 3.50401, 4.67688, 4.9913, 5.71884, 5.38264, 6.87368, 7.46445, 8.77327, 9.95851, 10.1436, 8.91449, 15.1733
1, 1.15123, 1.5008, 1.91802, 2.48436, 2.70131, 2.86071, 2.96419, 3.8616, 4.15791, 4.09366, 4.26761, 4.31451, 3.5183, 4.77808, 4.97931, 5.66344, 5.4341, 6.84436, 7.49264, 8.58898, 9.9554, 10.2526, 8.93948, 15.1736
1, 1.1804, 1.4957, 1.8414, 2.46517, 2.69359, 2.74073, 3.02587, 3.87192, 4.15726, 4.05234, 4.23752, 4.31476, 3.65676, 4.76054, 4.9671, 5.5935, 5.45681, 6.89851, 7.54687, 8.56959, 9.89133, 10.2986, 8.98698, 15.1345
1, 1.15913, 1.48392, 1.99078, 2.43862, 2.69135, 2.51114, 3.02477, 3.88386, 4.15455, 4.08816, 4.26231, 4.36417, 3.865, 4.80215, 4.9454, 5.56474, 5.34327, 6.96261, 7.59048, 8.60736, 9.88113, 10.3749, 8.83869, 15.113
1, 1.19528, 1.50733, 2.09059, 2.45168, 2.66117, 2.49797, 2.92775, 3.88986, 4.13594, 4.07885, 4.28611, 4.27592, 3.73221, 4.82305, 4.90508, 5.52495, 5.57963, 6.89524, 7.55697, 8.56944, 9.80559, 10.2407, 8.93395, 15.0635
1, 1.20815, 1.44899, 2.09038, 2.43578, 2.67226, 2.4355, 2.90363, 3.86765, 4.133, 4.03686, 4.33567, 4.33131, 3.79981, 4.8853, 4.9344, 5.39861, 5.58266, 6.93515, 7.50674, 8.42112, 9.69529, 10.1186, 9.08203, 15.0612
1, 1.19793, 1.49738, 2.08918, 2.39434, 2.71101, 2.62495, 2.82001, 3.84334, 4.09318, 3.97452, 4.30652, 4.47375, 3.80118, 4.8781, 4.91133, 5.42886, 5.59035, 6.92782, 7.47747, 8.36764, 9.60459, 10.133, 9.0248, 15.0657
1, 1.18011, 1.48975, 2.06834, 2.3718, 2.67157, 2.64593, 2.91332, 3.82818, 4.16461, 3.94708, 4.31403, 4.51328, 3.78734, 4.80331, 4.8983, 5.48913, 5.76722, 6.93823, 7.53875, 8.38828, 9.51223, 10.2585, 9.14849, 15.0537
1, 1.17276, 1.46066, 1.99309, 2.41393, 2.69935, 2.59802, 2.9286, 3.8441, 4.13402, 3.97921, 4.34359, 4.4301, 3.91032, 4.85067, 4.96638, 5.37581, 5.70663, 7.03392, 7.55238, 8.31655, 9.62995, 10.1633, 9.19217, 15.058
1, 1.15348, 1.41088, 1.92932, 2.47374, 2.71087, 2.70855, 2.873, 3.83311, 4.07281, 4.06201, 4.35947, 4.26357, 3.87429, 4.81967, 4.98673, 5.41967, 5.71488, 7.00571, 7.55544, 8.14695, 9.59119, 10.245, 9.16672, 15.0289
1, 1.17187, 1.41463, 2.03157, 2.47856, 2.68477, 2.73619, 2.86031, 3.8084, 4.04329, 4.16117, 4.31982, 4.20873, 3.79349, 4.77522, 5.05232, 5.41597, 5.71995, 6.96247, 7.54513, 8.18227, 9.52874, 10.2851, 9.34158, 15.0134
1, 1.14402, 1.50085, 1.94809, 2.45993, 2.69137, 2.65942, 2.84172, 3.80215, 4.06505, 4.15432, 4.30235, 4.20251, 3.92069, 4.77229, 5.04434, 5.46286, 5.68483, 6.96068, 7.53286, 8.10129, 9.55236, 10.2561, 9.41975, 14.9847
1, 1.11989, 1.42527, 2.04431, 2.47729, 2.67628, 2.63131, 2.84223, 3.78841, 4.11081, 4.11761, 4.26361, 4.13905, 3.94759, 4.84026, 5.04039, 5.43, 5.67937, 6.88593, 7.55504, 8.14771, 9.57311, 10.3422, 9.43835, 14.9627
1, 1.12716, 1.41829, 1.95881, 2.45286, 2.65593, 2.60212, 2.88647, 3.78938, 4.10996, 4.11122, 4.27829, 4.17013, 3.90605, 4.78832, 5.04805, 5.43163, 5.67373, 6.88477, 7.5481, 8.19313, 9.51192, 10.3827, 9.58958, 14.9774
1, 1.13741, 1.43933, 1.93137, 2.46242, 2.62416, 2.50512, 2.86696, 3.83187, 4.06426, 4.14717, 4.26969, 4.26581, 3.94594, 4.7561, 5.06477, 5.48758, 5.66051, 6.81411, 7.57526, 8.28635, 9.57858, 10.3076, 9.56611, 14.9529
1, 1.14762, 1.41144, 1.98548, 2.42794, 2.61505, 2.40554, 2.899, 3.82063, 4.02425, 4.17514, 4.23776, 4.2774, 3.9491, 4.69131, 5.08219, 5.51445, 5.59708, 6.88274, 7.57881, 8.31853, 9.67216, 10.2969, 9.55701, 14.9501
1, 1.15895, 1.41519, 1.99322, 2.44664, 2.61864, 2.28253, 2.9006, 3.83698, 3.99182, 4.1497, 4.24783, 4.25683, 3.93586, 4.69442, 5.05636, 5.51256, 5.59911, 6.88015, 7.61164, 8.33563, 9.53833, 10.3362, 9.55796, 14.9202
1, 1.12759, 1.3974, 2.00496, 2.42749, 2.62443, 2.46499, 2.89154, 3.85438, 3.97626, 4.1633, 4.29653, 4.29065, 3.85259, 4.67755, 5.0189, 5.45287, 5.64196, 6.89406, 7.60514, 8.31834, 9.4907, 10.2834, 9.60368, 14.9205
1, 1.11773, 1.42265, 1.98346, 2.41057, 2.62516, 2.48058, 2.86273, 3.84939, 4.01006, 4.16759, 4.29542, 4.32073, 3.83638, 4.67552, 5.0229, 5.49885, 5.64856, 6.86984, 7.60608, 8.22247, 9.47206, 10.2106, 9.57008, 14.9108
1, 1.08647, 1.41708, 1.96701, 2.43567, 2.61386, 2.53408, 2.87405, 3.84958, 3.965, 4.15916, 4.25052, 4.30157, 3.80734, 4.64241, 4.99377, 5.57412, 5.57921, 6.86959, 7.59218, 8.21466, 9.44849, 10.1667, 9.59941, 14.9102
1, 1.07857, 1.41537, 1.99625, 2.40681, 2.62232, 2.68413, 2.90303, 3.86063, 3.95999, 4.13351, 4.23351, 4.29346, 3.77673, 4.65759, 4.95621, 5.5492, 5.57612, 6.87212, 7.59303, 8.21716, 9.43698, 10.1907, 9.56777, 14.8886
1, 1.03857, 1.42134, 2.01146, 2.41666, 2.62957, 2.70929, 2.88964, 3.84807, 3.94844, 4.1378, 4.18468, 4.37871, 3.81011, 4.6534, 4.95804, 5.54932, 5.62654, 6.84513, 7.6019, 8.26354, 9.4313, 10.1769, 9.6395, 14.9001
1, 1.04558, 1.40645, 1.9746, 2.40998, 2.62745, 2.72953, 2.92102, 3.84432, 3.96966, 4.16962, 4.1812, 4.34543, 3.78956, 4.61723, 4.97932, 5.57745, 5.64711, 6.83469, 7.61061, 8.18091, 9.45572, 10.1315, 9.73761, 14.8992
